Date,Amount,Description,Bank
21/03/2017,-19.53,"RETAIL PURCHASE-INTERNATIONAL Audible, adbl.co/bill 1903 USD000000001498",BENDIGO
03/06/2016,-2.08,INTERNATIONAL TRANSACTION FEE,BENDIGO
12/05/2016,-5.0,"RETAIL PURCHASE COTTON ON KIDS 2249, RANDWICK 1105 AUD000000000500",BENDIGO
29/08/2017,-7.30,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 25/08/2017,CBA
28/01/2016,-24.94,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 2601 AUD000000002494",BENDIGO
24/08/2016,-4.0,"RETAIL PURCHASE ONE POT CATERING,XANDRIA NSW 2208 AUD000000000400",BENDIGO
28/09/2017,-17.01,"RETAIL PURCHASE TAXI COMBINED 13330,ALEXANDRIA 2609 AUD000000001701",BENDIGO
30/11/2016,-21.25,"RETAIL PURCHASE MCDONALDS ENGADINE, ENGADINE 2711 AUD000000002125",BENDIGO
20/08/2017,-36.7,"RETAIL PURCHASE AGL RETAIL ENERGY,NORTH SYDNEY 1808 AUD000000003670",BENDIGO
02/11/2016,-24.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 0111 AUD000000002400",BENDIGO
30/08/2016,-0.16,INTERNATIONAL TRANSACTION FEE,BENDIGO
07/05/2016,-16.0,"RETAIL PURCHASE JUST CUTS, RANDWICK 0505 AUD000000001600",BENDIGO
16/06/2017,-80.0,"RETAIL PURCHASE CLEAN EXPRESS LAUNDE, ULTIMO 1406 AUD000000008000",BENDIGO
19/02/2016,-18.6,"RETAIL PURCHASE MCDONALDS HARBOU,DARLING HARBO 1702 AUD000000001860",BENDIGO
17/12/2016,-169.76,"RETAIL PURCHASE-INTERNATIONAL CR, KARACHI 1412 PKR000001311400",BENDIGO
28/02/2016,-144.35,"RETAIL PURCHASE BUNNINGS 370000, ALEXANDRIA 2702 AUD000000014435",BENDIGO
03/11/2016,-46.75,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 0211 USD000000003573",BENDIGO
01/05/2016,-87.5,"RETAIL PURCHASE YMCA ITAC, PARRAMATTA 2904 AUD000000008750",BENDIGO
01/09/2016,-4.39,INTERNATIONAL TRANSACTION FEE,BENDIGO
19/05/2016,-26.7,"RETAIL PURCHASE CHAO PRAYA THAI, RANDWICK 1605 AUD000000002670",BENDIGO
13/10/2015,-25.37,"RETAIL PURCHASE-INTERNATIONAL CINNAWORLD PAKISTAN(, Karachi 1010 PKR000000192500",BENDIGO
11/02/2017,-5.0,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 0902 AUD000000000500",BENDIGO
08/03/2016,-10.0,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 0403 AUD000000001000",BENDIGO
10/11/2016,-506.0,"RETAIL PURCHASE HAYES THEATRE CO, POTTS POINT 0911 AUD000000050600",BENDIGO
06/11/2015,-3.25,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Oddworld,GOOGLE.COM/CH 0411 AUD000000000325",BENDIGO
28/05/2017,-23.0,"RETAIL PURCHASE Ground Roasters 2, Alexandria 2705 AUD000000002300",BENDIGO
31/05/2017,-180.0,"RETAIL PURCHASE THE HUNGER PROJECT A, SYDNEY 2905 AUD000000018000",BENDIGO
24/01/2017,-104.33,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 2201 AUD000000010433",BENDIGO
21/09/2017,-9.67,UBER TRIP IUFLJ HELP.U 14518236738 AU AUS Card xx8731 Value Date: 18/09/2017,CBA
31/05/2017,-31.03,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 28/05/2017,CBA
21/09/2017,-20.0,"RETAIL PURCHASE LA SEN RESTAURANT, RANDWICK 1809 AUD000000002000",BENDIGO
28-08-2017,-3.7,CHOCOLAT AT THE QUAY SYDNEY,ANZ
02/05/2017,-58.08,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 3004 AUD000000005808",BENDIGO
04/05/2017,-5.0,"RETAIL PURCHASE MAMMOTH MEDIA, EAST MELBOURN 2804 AUD000000000500",BENDIGO
11/08/2017,-6.48,"RETAIL PURCHASE IKEA TEMPE1, TEMPE 1008 AUD000000000648",BENDIGO
1/8/2017,-10.00,SQ *LEANING OAK CHEESE Sutherland NS AUS Card xx7113 Value Date: 29/07/2017,CBA
23/08/2017,-5.80,SUSHI HUB BROADWAY SYDNEY NS AUS Card xx8731 Value Date: 21/08/2017,CBA
17/10/2015,-87.5,"RETAIL PURCHASE YMCA ITAC, PARRAMATTA 1610 AUD000000008750",BENDIGO
20/05/2017,-51.93,"RETAIL PURCHASE SPOTLIGHT 030, DRUMMOYNE 1905 AUD000000005193",BENDIGO
27/06/2017,-155.0,"RETAIL PURCHASE LOTUS BARANGAROO P1,BARANGAROO 2306 AUD000000015500",BENDIGO
31/05/2017,-38.98,"RETAIL PURCHASE YAN ZHOU, ULTIMO 2805 AUD000000003898",BENDIGO
26/05/2016,-12.31,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 2405 USD000000000879",BENDIGO
22/01/2017,-87.5,"RETAIL PURCHASE IAN THORPE AQUATIC, ULTIMO 2001 AUD000000008750",BENDIGO
27/11/2016,-22.0,"RETAIL PURCHASE COOLENDEL, NOWRA 2511 AUD000000002200",BENDIGO
04/11/2016,305.0,E-BANKING TRANSFER 0112652543 00247011611301,BENDIGO
29/09/2016,-197.86,WITHDRAWAL-INTERNATIONAL ATM KRUNG THAI BANK PHUKET 2909 AUD000000018995,BENDIGO
18/04/2017,-24.0,"RETAIL PURCHASE SQ *HOPPER KADE, Forest Lodge 1604 AUD000000002400",BENDIGO
6/9/2017,-59.98,CITY BEACH MIRANDA NS AUS Card xx8731 Value Date: 03/09/2017,CBA
21/07/2017,-3.50,AMAZONICA PTY LIMITE GYMEA  AUS Card xx8731 Value Date: 20/07/2017,CBA
13/05/2017,-4.95,"RETAIL PURCHASE GROCERY ZONE CENTRAQPS, SYDNEY 1105 AUD000000000495",BENDIGO
28/09/2017,-3.49,"RETAIL PURCHASE WOOLWORTHS 1248, SYDNEY 2709 AUD000000000349",BENDIGO
15/12/2016,-53.48,"RETAIL PURCHASE-INTERNATIONAL DOCKERS, KARACHI 1312 PKR000000420000",BENDIGO
23/09/2016,-0.4,INTERNATIONAL TRANSACTION FEE,BENDIGO
08/04/2017,-21.0,"RETAIL PURCHASE ARC AT UNSW LTD, KENSINGTON 0604 AUD000000002100",BENDIGO
8/6/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent,CBA
28/07/2017,-32.00,MIRCHI HURSTVILLE IN HURSTVILLE NS AUS Card xx8731 Value Date: 26/07/2017,CBA
08/06/2017,-0.06,INTERNATIONAL TRANSACTION FEE,BENDIGO
29/01/2016,-12.7,"RETAIL PURCHASE GM CABS PTY. LTD. QPS, MASCOT 2701 AUD000000001270",BENDIGO
17/10/2017,-5.0,"RETAIL PURCHASE LORD OF THE FRIES, HAYMARKET 1510 AUD000000000500",BENDIGO
31/03/2016,-370.66,"RETAIL PURCHASE-INTERNATIONAL ZARA, BEIJING 2903 CNY000000181100",BENDIGO
30/08/2016,-5.19,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 2708 USD000000000395",BENDIGO
15/03/2017,-8.2,"RETAIL PURCHASE MCDONALDS F3 NORTHBOU, JILLIBY 1203 AUD000000000820",BENDIGO
09/05/2017,-6.6,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 0605 AUD000000000660",BENDIGO
09/07/2016,-41.41,"RETAIL PURCHASE MENULOG PTY LTD, SYDNEY 0807 AUD000000004141",BENDIGO
28/02/2017,-29.0,"RETAIL PURCHASE TARGET 5286, GLEBE 2602 AUD000000002900",BENDIGO
2/8/2017,-4.70,EMSHAW PTY LIMITED SUTHERLAND  AUS Card xx7113 Value Date: 01/08/2017,CBA
15/03/2016,-13.1,"RETAIL PURCHASE SSP AUSTRALIA CA,BRISBANE AIRP 1303 AUD000000001310",BENDIGO
02/08/2016,-10.0,"RETAIL PURCHASE LOUIS FRUIT MARKET, GLEBE 3007 AUD000000001000",BENDIGO
3/6/2017,-26.34,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 01/06/2017,CBA
17/05/2016,-18.89,"RETAIL PURCHASE PAYPAL *TANJIYI, 4029357733 1405 AUD000000001889",BENDIGO
16/12/2015,-51.0,"RETAIL PURCHASE BISTRO 14, DYS BAY NSW 1212 AUD000000005100",BENDIGO
22/03/2016,-80.17,"RETAIL PURCHASE ALDI 066, BROADWAY 1803 AUD000000008017",BENDIGO
25-09-2017,-29.75,IGNACIO AUST PTY LTD ASHFIELD,ANZ
06-09-2017,-7.0,HJ MARULAN NORTH MARULAN,ANZ
25/08/2016,-60.0,"RETAIL PURCHASE GoGetCarshare, HAYMARKET 2308 AUD000000006000",BENDIGO
12/08/2017,-5.25,"RETAIL PURCHASE MCDONALDS DARLING QTR, SYDNEY 0908 AUD000000000525",BENDIGO
28/11/2015,-6.2,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Double 1,GOOGLE.COM/CH 2611 AUD000000000620",BENDIGO
03/01/2016,-68.84,"RETAIL PURCHASE-INTERNATIONAL DNH*MEDIA TEMPLE I,877-5784000 0101 USD000000005000",BENDIGO
03/08/2016,-1.99,INTERNATIONAL TRANSACTION FEE,BENDIGO
18/07/2017,-38.05,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 15/07/2017,CBA
25/11/2015,-28.8,"RETAIL PURCHASE DELIVERY HERO, ULTIMO 2411 AUD000000002880",BENDIGO
16/09/2017,-100.00,REMOVALIST GROUP PL CHIPPING NORT NS AUS Card xx7113 Value Date: 14/09/2017,CBA
1/6/2017,-2.79,PRICELINE CRONULLA CRONULLA  AUS Card xx8731 Value Date: 27/05/2017,CBA
13/04/2016,-194.1,"RETAIL PURCHASE ALFRED MEDICAL IMAGI, NEWTOWN 1104 AUD000000019410",BENDIGO
13/04/2017,-1.34,"RETAIL PURCHASE-INTERNATIONAL ONAIR INTERNET SE,514-282-5239 1104 USD000000000100",BENDIGO
03/05/2017,-17.0,"RETAIL PURCHASE HAKIKI DONDURMA, NEWTOWN 2804 AUD000000001700",BENDIGO
08/07/2016,-114.95,"RETAIL PURCHASE PIGEONHOLE, CHIPPENDALE 0607 AUD000000011495",BENDIGO
13/08/2016,-15.55,INTERNATIONAL TRANSACTION FEE,BENDIGO
27/09/2017,-6.50,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 25/09/2017,CBA
20/02/2016,-10.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 1902 AUD000000001000",BENDIGO
24/02/2016,-1.4,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 2202 USD000000000099",BENDIGO
09/01/2016,-16.15,"RETAIL PURCHASE POST UNSW LPO, KENSINGTON 0801 AUD000000001615",BENDIGO
29/08/2017,-5.59,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 24/08/2017,CBA
11/10/2017,-26.97,"RETAIL PURCHASE PRICELINE BROADWAY, BROADWAY 0710 AUD000000002697",BENDIGO
22/06/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 20/06/2017,CBA
07/05/2016,-10.43,"RETAIL PURCHASE COLES, BROADWAY 0605 AUD000000001043",BENDIGO
25/05/2017,-4.00,IKEA TEMPE TEMPE NS AUS Card xx7113 Value Date: 23/05/2017,CBA
03/08/2017,1000.0,CREDIT TRANSFER 0128173077 00247011616601,BENDIGO
15/03/2016,-19.45,"RETAIL PURCHASE ABN QLD PL, SOUTH BRISBAN 1203 AUD000000001945",BENDIGO
28/05/2016,-92.48,"RETAIL PURCHASE BUNNINGS 370000, ALEXANDRIA 2605 AUD000000009248",BENDIGO
08/01/2016,-2.15,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *iDreams, GOOGLE.COM/CH 0601 AUD000000000215",BENDIGO
23/04/2017,-22.79,"RETAIL PURCHASE TAXI COMBINED 133,DARLINGHURST 2104 AUD000000002279",BENDIGO
02/05/2017,-59.99,"RETAIL PURCHASE TPG Internet PTY LT,North Ryde 3004 AUD000000005999",BENDIGO
15/12/2016,-84.05,"RETAIL PURCHASE OEHNP BONNIEVALE, SYDNEY 1312 AUD000000008405",BENDIGO
3/8/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent,CBA
15/04/2017,-75.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 1304 AUD000000007500",BENDIGO
19/01/2017,-23.72,"RETAIL PURCHASE HFM BROADWAY QPS, BROADWAY 1801 AUD000000002372",BENDIGO
04/05/2016,-85.16,"RETAIL PURCHASE ALDI 066, BROADWAY 0205 AUD000000008516",BENDIGO
06/12/2015,-12.26,"RETAIL PURCHASE COLES EXPRESS 1698, ULTIMO 0512 AUD000000001226",BENDIGO
22/11/2015,-100.42,"RETAIL PURCHASE HUGOS MANLY, MANLY 1911 AUD000000010042",BENDIGO
28/06/2017,-28.8,"RETAIL PURCHASE Clarence St Cyclery, Sydney 2706 AUD000000002880",BENDIGO
16/08/2017,2000.0,E-BANKING TRANSFER 0128957463 KO STUDY 00314085111401,BENDIGO
30/06/2017,-200.00,Wdl ATM CBA ATM  SUTHERLAND     NSW 225901   AUS,CBA
20/06/2017,-10.50,EMSHAW PTY LIMITED SUTHERLAND  AUS Card xx8731 Value Date: 18/06/2017,CBA
26/09/2017,-9.51,UBER TRIP WJAQC HELP.U 14518236738 AU AUS Card xx8731 Value Date: 22/09/2017,CBA
10/08/2017,-14.18,"RETAIL PURCHASE LEGION CAB SY 131,DARLINGHURST 0908 AUD000000001418",BENDIGO
30/09/2017,-120.57,"RETAIL PURCHASE ALDI STORES, BROADWAY 2709 AUD000000012057",BENDIGO
21-09-2017,-40.0,TRANSPORT FOR NSW-OPAL CHIPPENDALE,ANZ
27/06/2016,700.0,E-BANKING TRANSFER 0105820598 00247011611301,BENDIGO
13-09-2017,-8.0,GG 151 Castlereagh St Sydney,ANZ
07/10/2017,-4.0,"RETAIL PURCHASE LORD OF THE FRIES, HAYMARKET 0510 AUD000000000400",BENDIGO
10/10/2017,-23.8,"RETAIL PURCHASE LAILLTIMO CAFE N PIZZA, ULTIMO 0710 AUD000000002380",BENDIGO
15/03/2016,-0.08,INTERNATIONAL TRANSACTION FEE,BENDIGO
17/10/2017,-9.0,"RETAIL PURCHASE UBER *TRIP 67OVN, SYDNEY 1610 AUD000000000900",BENDIGO
12/04/2017,-27.0,"RETAIL PURCHASE IAN THORPE AC, ULTIMO 0704 AUD000000002700",BENDIGO
8/7/2017,-29.00,JUST JEANS 054 MIRANDA NS AUS Card xx8731 Value Date: 06/07/2017,CBA
10/07/2016,-87.5,"RETAIL PURCHASE YMCA ITAC, PARRAMATTA 0807 AUD000000008750",BENDIGO
08/09/2016,-90.58,"RETAIL PURCHASE WOOLWORTHS 1905, BROADWAY 0709 AUD000000009058",BENDIGO
22/01/2017,-0.12,INTERNATIONAL TRANSACTION FEE,BENDIGO
5/7/2017,-13.90,BED BATH N TABLE MIRANDA NS AUS Card xx8731 Value Date: 01/07/2017,CBA
03/05/2017,-14.93,"RETAIL PURCHASE UBER AU APR30 OKBPR, SYDNEY 2904 AUD000000001493",BENDIGO
11/08/2017,-0.95,INTERNATIONAL TRANSACTION FEE,BENDIGO
27/06/2017,-4.00,DELISSE SYDNEY NS AUS Card xx7113 Value Date: 23/06/2017,CBA
08/10/2016,-7.92,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 0610 USD000000000599",BENDIGO
08/03/2016,-24.37,"RETAIL PURCHASE ALDI 066, BROADWAY 0403 AUD000000002437",BENDIGO
26/06/2016,-25.0,"RETAIL PURCHASE SNSW HAYMARKET, SYDNEY 2406 AUD000000002500",BENDIGO
26/01/2016,-24.0,"RETAIL PURCHASE LIQUORLAND 3638, GLEBE 2301 AUD000000002400",BENDIGO
16/11/2016,-16.0,"RETAIL PURCHASE HOB QUA F&B SER ,IMO NSW 1511 AUD000000001600",BENDIGO
04/08/2017,-9.0,"RETAIL PURCHASE Exchange Cafe, Randwick 0308 AUD000000000900",BENDIGO
13/09/2017,-6.17,"RETAIL PURCHASE-INTERNATIONAL Audible US, 888-283-5051 1109 USD000000000495",BENDIGO
09/08/2016,-31.11,"RETAIL PURCHASE COLES 0839, BROADWAY 0708 AUD000000003111",BENDIGO
15/03/2016,-79.95,"RETAIL PURCHASE Oakley Sydney, Sydney 1403 AUD000000007995",BENDIGO
03/03/2016,-2.11,INTERNATIONAL TRANSACTION FEE,BENDIGO
03/02/2016,-70.83,"RETAIL PURCHASE-INTERNATIONAL DNH*MEDIA TEMPLE I,877-5784000 0102 USD000000005000",BENDIGO
29/01/2016,-14.24,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 2701 USD000000000999",BENDIGO
11/06/2016,-10.61,"RETAIL PURCHASE RSL CABS 9581 111,DARLINGHURST 1006 AUD000000001061",BENDIGO
11-09-2017,2803.02,PAYMENT THANKYOU 261068,ANZ
07-09-2017,-7.5,FANG FAN PTY LTD SYDNEY,ANZ
24/10/2015,-73.92,"RETAIL PURCHASE ALDI 066, BROADWAY 2210 AUD000000007392",BENDIGO
27/10/2016,-4.0,"RETAIL PURCHASE QUARRY ST CAFE, ULTIMO 2610 AUD000000000400",BENDIGO
17/08/2017,-500.00,DEFT RENT            NetBank BPAY 4481 26169508 1 9 gray week rent,CBA
5/9/2017,-29.95,CRONULLA DECISIONS P CRONULLA  AUS Card xx8731 Value Date: 03/09/2017,CBA
29/07/2016,-339.84,"RETAIL PURCHASE COLES 0839, BROADWAY 2807 AUD000000033984",BENDIGO
11/10/2017,-20.2,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 0810 AUD000000002020",BENDIGO
27/09/2016,-8.53,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 2409 USD000000000649",BENDIGO
13/10/2015,-0.76,INTERNATIONAL TRANSACTION FEE,BENDIGO
2/8/2017,-6.00,COLES 4789 SUTHERLAND AU AUS Card xx8731 Value Date: 30/07/2017,CBA
16/03/2017,-30.0,"RETAIL PURCHASE CLEAN EXPRESS LAUNDE, ULTIMO 1403 AUD000000003000",BENDIGO
12/7/2017,-9.00,BIANCHINI'S ESPRESSO GYMEA NS AUS Card xx7113 Value Date: 09/07/2017,CBA
07/01/2016,-9.7,"RETAIL PURCHASE SUBWAY UNSW PTY LTD,KENSINGTON 0601 AUD000000000970",BENDIGO
25/10/2016,646.3,"RETAIL PURCHASE RETURN TICKETEK PTY LTD NSW, SYDNEY 2310 AUD000000064630",BENDIGO
26/11/2016,-12.0,"RETAIL PURCHASE HOB QUA F&B SER ,IMO NSW 2411 AUD000000001200",BENDIGO
30/04/2016,-21.99,"RETAIL PURCHASE RED BOTTLE CENT1,LANE COVE WES 2704 AUD000000002199",BENDIGO
14/10/2015,-3.41,INTERNATIONAL TRANSACTION FEE,BENDIGO
18/06/2017,2550.0,E-BANKING TRANSFER 0125334097 00247011611301,BENDIGO
07/08/2016,-45.0,"RETAIL PURCHASE MENULOG PTY LTD, SYDNEY 0508 AUD000000004500",BENDIGO
25/12/2015,-11.4,"RETAIL PURCHASE THE HOYTS CORPORATIO, BROADWAY 2212 AUD000000001140",BENDIGO
03/08/2016,-66.24,"RETAIL PURCHASE-INTERNATIONAL DNH*MEDIA TEMPLE I,877-5784000 0108 USD000000005000",BENDIGO
26/02/2017,1050.0,CREDIT TRANSFER 0118861368 00247011616601,BENDIGO
02/08/2017,-9.6,"RETAIL PURCHASE HARRIS FARM MARKETSQP,RANDWICK 3107 AUD000000000960",BENDIGO
06/01/2017,-75.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 0501 AUD000000007500",BENDIGO
29/06/2017,-3.95,ROMEOS FOODHALL SUTHER SUTHERLAND  AUS Card xx8731 Value Date: 28/06/2017,CBA
23/12/2016,-350.0,E-BANKING TRANSFER 0115403336 00247011611301,BENDIGO
28/07/2017,-11.90,MAMA J THAI CUISINE Sydney NS AUS Card xx7113 Value Date: 26/07/2017,CBA
31/07/2016,-7.4,"RETAIL PURCHASE CITYOFSYDNEYPARKINGTX, SYDNEY 2907 AUD000000000740",BENDIGO
5/7/2017,-3.90,LA COFFEES PTY LTD SYDNEY NS AUS Card xx8731 Value Date: 03/07/2017,CBA
21/08/2016,-35.77,"RETAIL PURCHASE AGL RETAIL ENERGY,NORTH SYDNEY 1908 AUD000000003577",BENDIGO
13/11/2016,-45.01,"RETAIL PURCHASE COLES 0839, BROADWAY 1211 AUD000000004501",BENDIGO
20/09/2017,-45.80,COLES 4789 SUTHERLAND AU AUS Card xx7113 Value Date: 17/09/2017,CBA
23/10/2015,-1.66,INTERNATIONAL TRANSACTION FEE,BENDIGO
01/06/2016,-59.99,"RETAIL PURCHASE TPG INTERNET PTY LT,NORTH RYDE 3105 AUD000000005999",BENDIGO
21/05/2017,-7.5,"RETAIL PURCHASE ZINA ENTERPRISES ,CHURCH POINT 1905 AUD000000000750",BENDIGO
07/03/2017,-98.14,"RETAIL PURCHASE Woolworths, TORONTO 0403 AUD000000009814",BENDIGO
17/05/2016,-15.6,"RETAIL PURCHASE MORNING GLORY COOGEE, COOGEE 1505 AUD000000001560",BENDIGO
15/09/2016,-13.38,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 1409 USD000000000999",BENDIGO
15/10/2015,-0.92,INTERNATIONAL TRANSACTION FEE,BENDIGO
03/01/2017,-17.99,"RETAIL PURCHASE-INTERNATIONAL AMAZON SERVICES-1,866-216-1072 0101 USD000000001299",BENDIGO
17/08/2017,-40.0,"RETAIL PURCHASE TRANSPORT FOR NSW-,CHIPPENDALE 1508 AUD000000004000",BENDIGO
06/04/2016,-72.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 0404 AUD000000007200",BENDIGO
12/9/2017,-10.00,SUNSHINE 11 PTY LTD MARTIN PLACE NS AUS Card xx7113 Value Date: 07/09/2017,CBA
29/01/2016,-18.5,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 2701 AUD000000001850",BENDIGO
02/09/2016,-6.66,"RETAIL PURCHASE-INTERNATIONAL Amazon Services-K,866-321-8851 0109 USD000000000499",BENDIGO
18-09-2017,-3.0,CHOCOLAT AT THE QUAY SYDNEY,ANZ
26/07/2017,-6.79,WOOLWORTHS 1620 SYDNEY  AUS Card xx7113 Value Date: 24/07/2017,CBA
24/05/2016,-16.8,"RETAIL PURCHASE UBER, SAN FRANCISCO 2205 AUD000000001680",BENDIGO
23/11/2016,-26.75,"RETAIL PURCHASE PLINE 413 GEORGE ST, SYDNEY 1811 AUD000000002675",BENDIGO
19/02/2017,-21.9,"RETAIL PURCHASE BONDI PIZZA BAR & GRI,BROADWAY 1702 AUD000000002190",BENDIGO
15/05/2016,-87.5,"RETAIL PURCHASE YMCA ITAC, PARRAMATTA 1305 AUD000000008750",BENDIGO
27/01/2017,-50.57,"RETAIL PURCHASE HFM BROADWAY, BROADWAY 2501 AUD000000005057",BENDIGO
11/05/2016,-0.53,INTERNATIONAL TRANSACTION FEE,BENDIGO
05/03/2016,2000.0,CREDIT TRANSFER 0100404899 00247011616601,BENDIGO
09/06/2017,-13.5,"RETAIL PURCHASE Exchange Cafe, Randwick 0806 AUD000000001350",BENDIGO
29/07/2017,-9.90,Soul Origin - Hunter Sydney NS AUS Card xx7113 Value Date: 27/07/2017,CBA
10/02/2016,1357.75,CREDIT TRANSFER 0099201553 00247011616601,BENDIGO
03/03/2017,-12.9,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 0103 AUD000000001290",BENDIGO
13/08/2016,-0.97,INTERNATIONAL TRANSACTION FEE,BENDIGO
15/10/2015,-1.27,INTERNATIONAL TRANSACTION FEE,BENDIGO
17/03/2017,-5.0,"RETAIL PURCHASE MY DONUT BOX, BROADWAY 1603 AUD000000000500",BENDIGO
30/05/2017,-9.50,SQ *WHITE HORSE COFFEE Sutherland NS AUS Card xx8731 Value Date: 27/05/2017,CBA
03/02/2016,-20.0,"RETAIL PURCHASE QUARRY ST CAFE, ULTIMO 0202 AUD000000002000",BENDIGO
10/02/2016,-138.36,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 0802 AUD000000013836",BENDIGO
04/05/2016,-114.0,"RETAIL PURCHASE NATURES ENERGY, GLEBE 0305 AUD000000011400",BENDIGO
28/11/2015,-2.65,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *Kalypso ,GOOGLE.COM/CH 2611 AUD000000000265",BENDIGO
27/10/2015,-75.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 2410 AUD000000007500",BENDIGO
18-09-2017,-61.0,TARGET 5171 BURWOOD,ANZ
25/05/2017,-38.83,IKEA TEMPE TEMPE NS AUS Card xx7113 Value Date: 23/05/2017,CBA
27/09/2016,-89.32,"RETAIL PURCHASE Heinemann Duty Free, Mascot 2609 AUD000000008932",BENDIGO
27/06/2017,-20.00,LIQUORLAND 3403 SUTHERLAND AU AUS Card xx7113 Value Date: 24/06/2017,CBA
20/05/2017,-0.61,INTERNATIONAL TRANSACTION FEE,BENDIGO
07/11/2015,-70.0,"RETAIL PURCHASE GLEBE FAMILY MEDICAL, GLEBE 0511 AUD000000007000",BENDIGO
24/01/2016,-203.27,"RETAIL PURCHASE BUNNINGS 370000, ALEXANDRIA 2301 AUD000000020327",BENDIGO
15/10/2015,-4.95,INTERNATIONAL TRANSACTION FEE,BENDIGO
28-08-2017,-17.5,MAD MEX AMP PLAZA SYDNEY,ANZ
05-09-2017,-3.5,Grounds of The City Sydney,ANZ
22/02/2017,-14.8,"RETAIL PURCHASE WOLESLEY MGT PTY LTD, ULTIMO 2002 AUD000000001480",BENDIGO
19/08/2016,-22.49,"RETAIL PURCHASE WOOLWORTHS 1716, HAYMARKET 1808 AUD000000002249",BENDIGO
22/11/2015,-1.34,"RETAIL PURCHASE-INTERNATIONAL GOOGLE *DotEmu, GOOGLE.COM/CH 2011 AUD000000000134",BENDIGO
08/03/2016,-26.96,"RETAIL PURCHASE COLES, BROADWAY 0403 AUD000000002696",BENDIGO
26/11/2015,-22.44,"RETAIL PURCHASE MSY TECHONOLOGY NSW, ULTIMO 2511 AUD000000002244",BENDIGO
20/07/2016,-44.9,"RETAIL PURCHASE AMAYSIM AUSTRALIA LIMI, SYDNEY 1607 AUD000000004490",BENDIGO
24/02/2016,10.0,"RETAIL PURCHASE RETURN AMAYSIM AUSTRALIA LIMI, SYDNEY 2202 AUD000000001000",BENDIGO
06/10/2017,-8.39,"RETAIL PURCHASE Woolworths, SYDNEY 0410 AUD000000000839",BENDIGO
19/08/2017,-543.21,"RETAIL PURCHASE PAYPAL *DELLAUSTRAL,4029357733 1708 AUD000000054321",BENDIGO
13/09/2016,-11.95,"RETAIL PURCHASE REDINAR PTY LTD QPS, REDFERN 1009 AUD000000001195",BENDIGO
19/03/2016,-9.21,"RETAIL PURCHASE-INTERNATIONAL TUNNELBEAR INC, 9173101405 1703 USD000000000699",BENDIGO
27/08/2016,-30.6,"RETAIL PURCHASE MGM SPICES, SURRY HILLS 2608 AUD000000003060",BENDIGO
29/06/2017,-21.97,"RETAIL PURCHASE PIER B PHARMACY, MASCOT 2806 AUD000000002197",BENDIGO
07/07/2016,-175.0,"RETAIL PURCHASE IAN THORPE AC, ULTIMO 0507 AUD000000017500",BENDIGO
16/05/2017,-24.5,"RETAIL PURCHASE NEWINGTON NOMINEES Q,PETERSHAM 1305 AUD000000002450",BENDIGO
